exch_epoch,bid_1_price,bid_2_price,bid_3_price,bid_4_price,bid_5_price,bid_6_price,bid_7_price,bid_8_price,bid_9_price,bid_10_price,ask_1_price,ask_2_price,ask_3_price,ask_4_price,ask_5_price,ask_6_price,ask_7_price,ask_8_price,ask_9_price,ask_10_price,bid_1_qty,bid_2_qty,bid_3_qty,bid_4_qty,bid_5_qty,bid_6_qty,bid_7_qty,bid_8_qty,bid_9_qty,bid_10_qty,ask_1_qty,ask_2_qty,ask_3_qty,ask_4_qty,ask_5_qty,ask_6_qty,ask_7_qty,ask_8_qty,ask_9_qty,ask_10_qty
1698822300002998000,26848,26847,26846,26845,26844,26843,26842,26841,26840,26839,26849,26850,26851,26853,26855,26856,26857,26858,26859,26860,9,191,163,3,83,157,160,272,198,157,1,25774,38,290,87,82,87,522,82,423
1698822300033993000,26848,26847,26846,26845,26844,26843,26842,26841,26840,26839,26849,26850,26851,26853,26854,26855,26856,26857,26858,26859,9,226,163,3,83,157,160,472,198,157,1,25774,38,290,75,162,157,162,597,157
1698822300056639000,26848,26847,26846,26845,26844,26843,26842,26841,26840,26839,26849,26850,26851,26853,26854,26855,26856,26857,26858,26859,9,226,163,85,83,157,160,472,198,157,1,25774,38,290,75,162,157,162,597,157
1698822300205917000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26849,26850,26851,26853,26854,26855,26856,26857,26858,26859,100,163,85,83,157,160,472,198,157,358,1,25774,38,290,75,162,157,162,597,157
1698822300206291000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26849,26850,26851,26853,26854,26855,26856,26857,26858,26859,35,163,85,83,157,160,472,198,157,358,1,25774,38,290,75,162,157,162,597,157
1698822300206637000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26849,26850,26851,26853,26854,26855,26856,26857,26858,26859,163,120,83,157,160,472,198,157,358,557,1,25774,38,290,75,162,157,162,597,157
1698822300206899000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26849,26850,26851,26853,26854,26855,26856,26857,26858,26859,163,38,83,157,160,472,198,157,358,557,1,25774,38,290,75,162,157,162,597,157
1698822300207694000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26849,26850,26851,26853,26854,26855,26856,26857,26858,26859,163,120,83,157,160,472,198,157,358,557,1,25774,38,290,75,162,157,162,597,157
1698822300207823000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26849,26850,26851,26853,26854,26855,26856,26857,26858,26859,163,85,118,157,160,472,198,157,358,557,1,25774,38,290,75,162,157,162,597,157
1698822300491882000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26849,26850,26851,26853,26854,26855,26856,26857,26858,26859,163,120,83,157,160,472,198,157,358,557,1,25774,38,290,75,162,157,162,597,157
1698822300760682000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26849,26850,26851,26853,26854,26855,26856,26857,26858,26859,163,120,83,157,160,472,198,157,358,557,1,25774,38,290,75,80,157,162,597,157
1698822300761268000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26849,26850,26851,26853,26854,26855,26856,26857,26858,26859,198,85,83,157,160,472,198,157,358,557,1,25774,38,290,75,80,157,162,597,157
1698822300849700000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26849,26850,26851,26853,26854,26855,26856,26857,26858,26859,50,198,85,83,157,160,472,198,157,358,1,25774,38,290,75,80,157,162,597,157
1698822300895597000,26848,26846,26845,26844,26843,26842,26841,26840,26839,26838,26850,26851,26853,26854,26855,26856,26857,26858,26859,26860,50,198,85,83,157,160,472,198,157,358,25730,38,290,75,80,157,162,597,157,498
